left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,left_elbow_flare,right_elbow_flare,left_wrist_stack_diff,right_wrist_stack_diff,shoulder_diff_3d,elbow_angle_asym,shoulder_angle_asym,class
155.82906253898588,161.92091005778155,23.17171861614522,125.22699242508237,127.35307698536019,36.8067981862176,0.007993161999999998,-0.034834802,0.3431645286434164,0.10830878860229236,0.3538196666918735,6.091847518795674,102.05527380893716,b_correct_up
154.61928263987468,138.61059760278715,27.678763969036055,103.66538314612544,144.71968429412098,44.0774517032451,-0.039567083,-0.08323729099999999,0.2898520727143964,0.02847632723381838,0.3136748080808829,16.00868503708753,75.98661917708938,b_correct_down
163.5941156873021,147.67660502375418,21.10222832354983,120.95458421034597,109.68501921711986,39.80469444529551,-0.05349126500000001,-0.020217715999999997,0.2920908516845463,0.13063289808770903,0.2351943180205037,15.917510663547915,99.85235588679615,b_correct_down
155.34691751599038,112.35855497845463,27.230364894567828,94.81244156177303,126.956354491244,46.30535363678068,-0.029823392000000004,-0.10816472799999999,0.3260453913113772,0.09907187314322757,0.31993454905401286,42.98836253753575,67.5820766672052,b_correct_down
154.45414794722524,145.62579856825303,25.09989295882404,129.2220594228462,126.10264043055385,39.76494732322415,-0.0014893109999999932,-0.018971562999999914,0.34030856874313403,0.09523229119730209,0.36721603960194105,8.828349378972206,104.12216646402216,b_correct_up
158.45024920924425,157.68147483962096,19.969345396284005,117.10906155345124,130.33874592264007,35.66942786571655,0.012300401999999988,-0.02647989900000003,0.3097477922454871,0.10756489656089115,0.31463275896907633,0.7687743696232872,97.13971615716724,b_correct_up
171.20231125602555,154.68168878765024,15.532813915186969,79.13722086486489,135.0307812367705,46.9597214401889,-0.059724151999999975,-0.10740774900000005,0.3498123073328879,0.03214054740282429,0.2784216735375358,16.520622468375308,63.604406949677916,b_correct_down
154.62960043808303,155.8488927663684,28.08512194529031,125.05667377796424,114.96785055440867,37.08347346102438,0.021457910999999996,-0.01532876399999994,0.3348007970025094,0.09876292942425723,0.3993629823341885,1.219292328285377,96.97155183267392,b_correct_up
149.83610596918305,126.69154201423581,35.779439926384164,96.80904370651773,107.86742915844904,38.24033821830257,-0.05852149399999998,-0.09525722199999997,0.35840632746130074,0.03903541048225096,0.37119300485771445,23.144563954947245,61.02960378013356,b_correct_down
156.1300206022168,149.44194945256578,24.966190602109187,129.22512831891245,124.13606554399169,38.23569011507392,0.005027681999999978,-0.006372093999999939,0.35173558226034346,0.09792990998615762,0.36466137156453027,6.688071149651023,104.25893771680327,b_correct_up
143.12864814682464,132.14525788938678,42.18065663607056,70.61441361906554,129.18521251124992,35.71675469475371,-0.08092369199999999,-0.11654615400000001,0.3517479752173567,0.11879845885942598,0.3398463493417989,10.983390257437861,28.433756982994986,b_correct_down
155.76514893013913,150.24657558282397,25.6172717119058,122.56096906285352,109.18039977510908,36.868837916764825,0.02141821300000002,-0.015417337000000031,0.3515147401176412,0.08105028743131651,0.39754882327687135,5.518573347315169,96.94369735094772,b_correct_up
